product_type,size,front,back,template_sleeves,sleeveLeft,sleeveRight,template_hood,hood,dpi,unit
WOMEN_CROPTANK_BC6682_PET,S,10x12,,,,,900x600px,3x2,300,inch
WOMEN_CROPTANK_BC6682_PET,M,10x12,,,,,900x600px,3x2,300,inch
WOMEN_CROPTANK_BC6682_PET,L,10x12,,,,,900x600px,3x2,300,inch
WOMEN_CROPTANK_BC6682_PET,XL,10x12,,,,,900x600px,3x2,300,inch
WOMEN_CROPTANK_BC6682_PET,2XL,10x12,,,,,900x600px,3x2,300,inch
MENTANK_HEAVY_G5200_PET,S,14x16,14x16,,,,900x600px,3x2,300,inch
MENTANK_HEAVY_G5200_PET,M,14x16,14x16,,,,900x600px,3x2,300,inch
MENTANK_HEAVY_G5200_PET,L,14x16,14x16,,,,900x600px,3x2,300,inch
MENTANK_HEAVY_G5200_PET,XL,14x16,14x16,,,,900x600px,3x2,300,inch
MENTANK_HEAVY_G5200_PET,2XL,14x16,14x16,,,,900x600px,3x2,300,inch
MENTANK_HEAVY_G5200_PET,3XL,14x16,14x16,,,,900x600px,3x2,300,inch
MENTANK_ULTRA_G2200_PET,S,14x16,14x16,,,,900x600px,3x2,300,inch
MENTANK_ULTRA_G2200_PET,M,14x16,14x16,,,,900x600px,3x2,300,inch
MENTANK_ULTRA_G2200_PET,L,14x16,14x16,,,,900x600px,3x2,300,inch
MENTANK_ULTRA_G2200_PET,XL,14x16,14x16,,,,900x600px,3x2,300,inch
MENTANK_ULTRA_G2200_PET,2XL,14x16,14x16,,,,900x600px,3x2,300,inch
MENTANK_ULTRA_G2200_PET,3XL,14x16,14x16,,,,900x600px,3x2,300,inch
WOMAN_MUSTANK_NL5013_PET,XS,14x16,14x16,,,,900x600px,3x2,300,inch
WOMAN_MUSTANK_NL5013_PET,S,14x16,14x16,,,,900x600px,3x2,300,inch
WOMAN_MUSTANK_NL5013_PET,M,14x16,14x16,,,,900x600px,3x2,300,inch
WOMAN_MUSTANK_NL5013_PET,L,14x16,14x16,,,,900x600px,3x2,300,inch
WOMAN_MUSTANK_NL5013_PET,XL,14x16,14x16,,,,900x600px,3x2,300,inch
WOMAN_MUSTANK_NL5013_PET,2XL,14x16,14x16,,,,900x600px,3x2,300,inch
MAN_MUSTANK_NL3633_PET,XS,14x16,14x16,,,,900x600px,3x2,300,inch
MAN_MUSTANK_NL3633_PET,S,14x16,14x16,,,,900x600px,3x2,300,inch
MAN_MUSTANK_NL3633_PET,M,14x16,14x16,,,,900x600px,3x2,300,inch
MAN_MUSTANK_NL3633_PET,L,14x16,14x16,,,,900x600px,3x2,300,inch
MAN_MUSTANK_NL3633_PET,XL,14x16,14x16,,,,900x600px,3x2,300,inch
MAN_MUSTANK_NL3633_PET,2XL,14x16,14x16,,,,900x600px,3x2,300,inch
WOMAN_JERTANK_LAT3592_PET,S,14x16,14x16,,,,900x600px,3x2,300,inch
WOMAN_JERTANK_LAT3592_PET,M,14x16,14x16,,,,900x600px,3x2,300,inch
WOMAN_JERTANK_LAT3592_PET,L,14x16,14x16,,,,900x600px,3x2,300,inch
WOMAN_JERTANK_LAT3592_PET,XL,14x16,14x16,,,,900x600px,3x2,300,inch
WOMAN_JERTANK_LAT3592_PET,2XL,14x16,14x16,,,,900x600px,3x2,300,inch
WOMAN_RACERTANK_BC6008_PET,S,14x16,10x12,,,,900x600px,3x2,300,inch
WOMAN_RACERTANK_BC6008_PET,M,14x16,10x12,,,,900x600px,3x2,300,inch
WOMAN_RACERTANK_BC6008_PET,L,14x16,10x12,,,,900x600px,3x2,300,inch
WOMAN_RACERTANK_BC6008_PET,XL,14x16,10x12,,,,900x600px,3x2,300,inch
WOMAN_RACERTANK_BC6008_PET,2XL,14x16,10x12,,,,900x600px,3x2,300,inch
WOMAN_MUSTEE_307GD_PET,S,10x12,10x12,,,,900x600px,3x2,300,inch
WOMAN_MUSTEE_307GD_PET,M,10x12,10x12,,,,900x600px,3x2,300,inch
WOMAN_MUSTEE_307GD_PET,L,10x12,10x12,,,,900x600px,3x2,300,inch
WOMAN_MUSTEE_307GD_PET,XL,10x12,10x12,,,,900x600px,3x2,300,inch
WOMAN_MUSTEE_307GD_PET,2XL,10x12,10x12,,,,900x600px,3x2,300,inch
DRESS_VNECK_LAT3522_PET,"S,M",10x12,10x12,,,,900x600px,3x2,300,inch
DRESS_VNECK_LAT3522_PET,"L,XL",10x12,10x12,,,,900x600px,3x2,300,inch
DRESS_VNECK_LAT3522_PET,"2,3XL",10x12,10x12,,,,900x600px,3x2,300,inch
WOMAN_TIESHIRT_CT1050_PET,XS,10x12,10x12,,,,900x600px,3x2,300,inch
WOMAN_TIESHIRT_CT1050_PET,S,10x12,10x12,,,,900x600px,3x2,300,inch
WOMAN_TIESHIRT_CT1050_PET,M,10x12,10x12,,,,900x600px,3x2,300,inch
WOMAN_TIESHIRT_CT1050_PET,L,10x12,10x12,,,,900x600px,3x2,300,inch
WOMAN_TIESHIRT_CT1050_PET,XL,10x12,10x12,,,,900x600px,3x2,300,inch
YOUTHSHIRT_G6400B_PET,XS,7x8,7x8,,,,900x600px,2.5x1,300,inch
YOUTHSHIRT_G6400B_PET,S,8x9,8x9,,,,900x600px,2.5x1,300,inch
YOUTHSHIRT_G6400B_PET,M,9x10,9x10,,,,900x600px,2.5x1,300,inch
YOUTHSHIRT_G6400B_PET,L,10x11,10x11,,,,900x600px,2.5x1,300,inch
YOUTHSHIRT_G6400B_PET,XL,10x11,10x11,,,,900x600px,2.5x1,300,inch
TIEDYE_T-SHIRT_CT1000_PET,S,10x13,10x13,,,,900x600px,3x2,300,inch
TIEDYE_T-SHIRT_CT1000_PET,M,10x13,10x13,,,,900x600px,3x2,300,inch
TIEDYE_T-SHIRT_CT1000_PET,L,14x16,14x16,,,,900x600px,3x2,300,inch
TIEDYE_T-SHIRT_CT1000_PET,XL,14x16,14x16,,,,900x600px,3x2,300,inch
TIEDYE_T-SHIRT_CT1000_PET,2XL,14x16,14x16,,,,900x600px,3x2,300,inch
TIEDYE_T-SHIRT_CT1000_PET,3XL,14x16,14x16,,,,900x600px,3x2,300,inch
WOMANTSHIRT_NL1510_PET,XS,10x11,10x11,,,,900x600px,3x2,300,inch
WOMANTSHIRT_NL1510_PET,S,14x16,14x16,,,,900x600px,3x2,300,inch
WOMANTSHIRT_NL1510_PET,M,14x16,14x16,,,,900x600px,3x2,300,inch
WOMANTSHIRT_NL1510_PET,L,14x16,14x16,,,,900x600px,3x2,300,inch
WOMANTSHIRT_NL1510_PET,XL,14x16,14x16,,,,900x600px,3x2,300,inch
WOMANTSHIRT_NL1510_PET,2XL,14x16,14x16,,,,900x600px,3x2,300,inch
WOMANTSHIRT_NL1510_PET,3XL,14x16,14x16,,,,900x600px,3x2,300,inch
WOMAN_VNECK_BC6405_PET,S,14x16,14x16,2280x1140px,5x5,5x5,900x600px,3x2,300,inch
WOMAN_VNECK_BC6405_PET,M,14x16,14x16,2280x1140px,5x5,5x5,900x600px,3x2,300,inch
WOMAN_VNECK_BC6405_PET,L,14x16,14x16,2280x1140px,5x5,5x5,900x600px,3x2,300,inch
WOMAN_VNECK_BC6405_PET,XL,14x16,14x16,2280x1140px,5x5,5x5,900x600px,3x2,300,inch
WOMAN_VNECK_BC6405_PET,2XL,14x16,14x16,2280x1140px,5x5,5x5,900x600px,3x2,300,inch
WOMAN_VNECK_BC6405_PET,3XL,14x16,14x16,2280x1140px,5x5,5x5,900x600px,3x2,300,inch
