order_number,external_order_number,created,status,order_item_id,variant_title,color,imported_design,image
RE-26932-97736,577111902315909886,20/09/2025,paid_fulfillment_cost,68cdf9d2c3bd7a275afc13c6,Comfort Color 1717 / SEAFOAM / XL,SEAFOAM,https://drive.google.com/uc?id=1_02PLJ64jFkfjrujVsoSGIhiDMUZ3LEQ&export=download,
RG-69665-74826,577111976394068125,20/09/2025,paid_fulfillment_cost,68cdf9d28729ecdc7d46205f,Comfort Color 1717 / SEAFOAM / S,SEAFOAM,https://drive.google.com/uc?id=1_02PLJ64jFkfjrujVsoSGIhiDMUZ3LEQ&export=download,
RW-33246-86989,577111961472111344,20/09/2025,in production,68cdf9d37cd8e53817208c22,Comfort Color 1717 / SEAFOAM / L,SEAFOAM,https://drive.google.com/uc?id=1_02PLJ64jFkfjrujVsoSGIhiDMUZ3LEQ&export=download,
RW-82874-22882,577111903374054227,20/09/2025,paid_fulfillment_cost,68cdf9d38729ec5a6a462096,Comfort Color 1717 / SEAFOAM / M,SEAFOAM,https://drive.google.com/uc?id=1_02PLJ64jFkfjrujVsoSGIhiDMUZ3LEQ&export=download,
RP-93976-99936,577111893319848947,20/09/2025,paid_fulfillment_cost,68cdf9d38729ec588c4620a8,Comfort Color 1717 / SEAFOAM / S,SEAFOAM,https://drive.google.com/uc?id=1_02PLJ64jFkfjrujVsoSGIhiDMUZ3LEQ&export=download,
RD-48292-89726,577111947373220781,20/09/2025,in production,68cdf9d37cd8e53d3e208c56,Comfort Color 1717 / SEAFOAM / L,SEAFOAM,https://drive.google.com/uc?id=1_02PLJ64jFkfjrujVsoSGIhiDMUZ3LEQ&export=download,
RK-28392-74967,577111963512246509,20/09/2025,in production,68cdf9f18729ec738446212b,Comfort Color 1717 / SEAFOAM / L,SEAFOAM,https://drive.google.com/uc?id=1_02PLJ64jFkfjrujVsoSGIhiDMUZ3LEQ&export=download,
RY-58948-63268,577111949086396509,20/09/2025,paid_fulfillment_cost,68cdf9f48729ec3254462147,Comfort Color 1717 / SEAFOAM / XL,SEAFOAM,https://drive.google.com/uc?id=1_02PLJ64jFkfjrujVsoSGIhiDMUZ3LEQ&export=download,
RK-37579-74699,577111901107426091,20/09/2025,paid_fulfillment_cost,68cdf9f5c3bd7afdd4fc143e,Comfort Color 1717 / SEAFOAM / M,SEAFOAM,https://drive.google.com/uc?id=1_02PLJ64jFkfjrujVsoSGIhiDMUZ3LEQ&export=download,
RP-73663-28637,577111985996665818,20/09/2025,paid_fulfillment_cost,68cdf9f5c3bd7aca5afc1440,Comfort Color 1717 / SEAFOAM / M,SEAFOAM,https://drive.google.com/uc?id=1_02PLJ64jFkfjrujVsoSGIhiDMUZ3LEQ&export=download,
RG-86762-49358,577111916191977890,20/09/2025,paid_fulfillment_cost,68cdf9f57cd8e50189208cd3,Comfort Color 1717 / SEAFOAM / M,SEAFOAM,https://drive.google.com/uc?id=1_02PLJ64jFkfjrujVsoSGIhiDMUZ3LEQ&export=download,
RX-65847-69358,577111890940039585,20/09/2025,paid_fulfillment_cost,68cdf9f5c3bd7a5531fc1471,Comfort Color 1717 / MOSS / M,MOSS,https://drive.google.com/uc?id=1_02PLJ64jFkfjrujVsoSGIhiDMUZ3LEQ&export=download,
RX-65847-69358,577111890940039585,20/09/2025,paid_fulfillment_cost,68cdf9f5c3bd7a4eb9fc1473,Comfort Color 1717 / SEAFOAM / M,MOSS,https://drive.google.com/uc?id=1_02PLJ64jFkfjrujVsoSGIhiDMUZ3LEQ&export=download,
RW-38536-63949,577111940075459443,20/09/2025,in production,68cdf9f58729ec2c2b462161,Comfort Color 1717 / SEAFOAM / 2XL,SEAFOAM,https://drive.google.com/uc?id=1_02PLJ64jFkfjrujVsoSGIhiDMUZ3LEQ&export=download,
RG-77949-53858,577111917745573889,20/09/2025,in production,68cdf9f77cd8e52afc208d0b,Comfort Color 1717 / SEAFOAM / L,SEAFOAM,https://drive.google.com/uc?id=1_02PLJ64jFkfjrujVsoSGIhiDMUZ3LEQ&export=download,
RW-26858-22259,577111946359902991,20/09/2025,paid_fulfillment_cost,68cdfa148729ec64a14621d0,Comfort Color 1717 / SEAFOAM / M,SEAFOAM,https://drive.google.com/uc?id=1_02PLJ64jFkfjrujVsoSGIhiDMUZ3LEQ&export=download,
RZ-22379-29569,577111808057316197,20/09/2025,paid_fulfillment_cost,68cdfa14729448ed8d184b3b,Comfort Color 1717 / SEAFOAM / XL,SEAFOAM,https://drive.google.com/uc?id=1_02PLJ64jFkfjrujVsoSGIhiDMUZ3LEQ&export=download,
RW-53629-55623,577111929166729829,20/09/2025,in production,68cdfa177294483a2a184b7b,Comfort Color 1717 / SEAFOAM / L,SEAFOAM,https://drive.google.com/uc?id=1_02PLJ64jFkfjrujVsoSGIhiDMUZ3LEQ&export=download,
RW-53629-55623,577111929166729829,20/09/2025,in production,68cdfa177294484b94184b7d,Comfort Color 1717 / SEAFOAM / XL,SEAFOAM,https://drive.google.com/uc?id=1_02PLJ64jFkfjrujVsoSGIhiDMUZ3LEQ&export=download,
RW-64324-54299,577111839988028080,20/09/2025,paid_fulfillment_cost,68cdfa17c3bd7ac46efc14ec,Comfort Color 1717 / SEAFOAM / M,SEAFOAM,https://drive.google.com/uc?id=1_02PLJ64jFkfjrujVsoSGIhiDMUZ3LEQ&export=download,
